Team,Goals per game,Goals conceded,Shots per game,Shots on target,Expected Goals (xG),Big chances,Possession (%),Pass accuracy (%)
Spain,5.5,1,27.5,9,3.595,5,75.5,88.5
Italy,1,0.5,15.5,6.5,1.34,1,45,77.5
Portugal,0.5,3,5.5,1,0.32,0,43,75
Belgium,1,3.5,7,2.5,0.74,1,36.5,72
